begintime,sk_object,1542455881,1542455397,1542455401,1542455404,1542455405,1542455393,1542455396,1542455400,1542455392,1542455872,1542455873,1542455874,1542455875,1542455876,1542455877,1542455878,1542455879,1542455880,duration
2022-03-01,7729565.0,,0.0,1491222.0,1021.0,837174.0,0.0,0.0,1905.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729566.0,,0.0,2823656185.0,18731316.0,22018080203.0,0.0,0.0,11683738.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729567.0,,0.0,23620.0,298.0,234043.0,0.0,0.0,130.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729568.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729569.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729570.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729571.0,,0.0,239281.0,179.0,158775.0,0.0,0.0,244.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729572.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729573.0,,0.0,122030.0,93.0,86567.0,0.0,0.0,144.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729574.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729575.0,,0.0,72.0,6.0,1885.0,0.0,0.0,2.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729576.0,,0.0,4532.0,47.0,5179.0,0.0,0.0,27.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729577.0,,0.0,38714.0,64.0,24416.0,0.0,0.0,86.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729578.0,,0.0,12410.0,540.0,560427.0,0.0,0.0,53.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729579.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729580.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729581.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729582.0,,0.0,2019.0,1.0,36.0,0.0,0.0,16.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729583.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729584.0,,0.0,36.0,1.0,36.0,0.0,0.0,1.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729585.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729586.0,,0.0,1007264.0,261.0,128128.0,0.0,0.0,1253.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729587.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729588.0,,0.0,248229869.0,904633.0,996119845.0,0.0,0.0,606450.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729589.0,,0.0,175721.0,140.0,85359.0,0.0,0.0,172.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729590.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
