begintime,sk_object,duration,integrity,1593835630,1593835632,1593835633,1593835634,1593835679,1593835680,1593835681,1593835682
2022-02-12,7732671.0,86400.0,100.0,0.0,67.0,8.458333333333334,0.0,,,,
2022-02-12,7732577.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
2022-02-12,7732630.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
2022-02-06,7732704.0,86400.0,100.0,0.0,6.0,4.458333333333333,0.0,,,,
2022-02-20,7732643.0,86400.0,100.0,0.0,6.0,3.7083333333333335,0.0,,,,
2022-02-20,7732651.0,86400.0,100.0,0.0,8.0,1.3333333333333333,0.0,,,,
2022-02-06,7732753.0,86400.0,100.0,0.0,11.0,8.375,0.0,,,,
2022-02-10,7732681.0,86400.0,100.0,0.0,7.0,4.666666666666667,0.0,,,,
2022-02-20,7732627.0,86400.0,100.0,0.0,7.0,4.666666666666667,0.0,,,,
2022-02-17,7732600.0,72000.0,83.33333333333333,0.0,15.0,1.0,0.0,,,,
2022-02-03,7732606.0,86400.0,100.0,0.0,6.0,4.75,0.0,,,,
2022-03-15,7732650.0,86400.0,100.0,0.0,14.0,4.875,0.0,,,,
2022-03-06,7732617.0,79200.0,91.66666666666667,0.0,9.0,6.409090909090909,0.0,,,,
2022-02-06,7732712.0,86400.0,100.0,0.0,47.0,8.0,0.0,,,,
2022-02-10,7732661.0,86400.0,100.0,0.0,27.0,12.0,0.0,,,,
2022-03-13,7732713.0,75600.0,87.5,0.0,4.0,1.0,0.0,,,,
2022-02-05,7732715.0,86400.0,100.0,0.0,12.0,5.25,0.0,,,,
2022-03-12,7732721.0,68400.0,79.16666666666667,0.0,7.0,4.842105263157895,0.0,,,,
2022-02-06,7732644.0,86400.0,100.0,0.0,26.0,12.416666666666666,0.0,,,,
2022-03-06,7732592.0,79200.0,91.66666666666667,0.0,8.0,4.909090909090909,0.0,,,,
2022-02-13,7732694.0,86400.0,100.0,0.0,7.0,5.041666666666667,0.0,,,,
