begintime,sk_object,duration,integrity,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-14,21333.0,1440.0,100.0,2459.0,146.0,0.0,54.0,0.0,0.0,0.0,589.0,0.0
2022-03-16,21334.0,1400.0,97.22222222222223,2791.0,959.0,0.0,971.0,0.0,0.0,0.0,199.0,0.0
2022-03-18,21350.0,1440.0,100.0,3454.0,4045.0,0.0,2487.0,0.0,0.0,0.0,220.0,0.0
2022-03-18,21363.0,1440.0,100.0,25773.0,3742.0,0.0,2662.0,0.0,0.0,0.0,3287.0,0.0
2022-03-16,21333.0,1440.0,100.0,4472.0,103.0,0.0,135.0,0.0,0.0,0.0,1094.0,0.0
2022-03-12,21363.0,1440.0,100.0,22092.0,3675.0,0.0,3066.0,0.0,0.0,0.0,2789.0,0.0
2022-03-12,21384.0,1440.0,100.0,4112.0,838.0,0.0,317.0,0.0,0.0,0.0,761.0,0.0
2022-03-14,21384.0,1440.0,100.0,4385.0,267.0,0.0,333.0,0.0,0.0,0.0,747.0,0.0
2022-03-16,21352.0,1399.0,97.15277777777777,643.0,1184.0,0.0,516.0,0.0,0.0,0.0,31.0,0.0
2022-03-14,21397.0,1440.0,100.0,15407.0,386.0,0.0,979.0,0.0,0.0,0.0,2375.0,0.0
2022-03-11,21343.0,1440.0,100.0,19121.0,995.0,0.0,1329.0,0.0,0.0,0.0,2732.0,0.0
2022-03-15,21342.0,1362.0,94.58333333333333,2345.0,114.0,0.0,129.0,0.0,0.0,0.0,106.0,0.0
2022-03-11,21315.0,1440.0,100.0,3975.0,24.0,0.0,116.0,0.0,0.0,0.0,712.0,0.0
2022-03-19,21324.0,1310.0,90.97222222222223,4118.0,2418.0,0.0,1140.0,0.0,0.0,0.0,323.0,0.0
2022-03-12,21340.0,1440.0,100.0,5673.0,728.0,0.0,685.0,0.0,0.0,0.0,831.0,0.0
2022-03-18,21358.0,1440.0,100.0,6328.0,344.0,0.0,468.0,0.0,0.0,0.0,204.0,0.0
2022-03-15,21306.0,1440.0,100.0,778.0,91.0,0.0,55.0,0.0,0.0,0.0,138.0,0.0
2022-03-12,21345.0,1440.0,100.0,158.0,27.0,0.0,28.0,0.0,0.0,0.0,37.0,0.0
2022-03-12,21309.0,1380.0,95.83333333333333,10693.0,4769.0,0.0,2931.0,0.0,0.0,0.0,1316.0,0.0
2022-03-11,21348.0,1440.0,100.0,11864.0,304.0,0.0,445.0,0.0,0.0,0.0,264.0,0.0
2022-03-11,21350.0,1440.0,100.0,2766.0,7122.0,0.0,2075.0,0.0,0.0,0.0,183.0,0.0
2022-03-13,21328.0,1440.0,100.0,7892.0,840.0,0.0,480.0,0.0,0.0,0.0,159.0,0.0
2022-03-15,21355.0,1440.0,100.0,6378.0,1931.0,0.0,1815.0,0.0,0.0,0.0,360.0,0.0
2022-03-16,21332.0,1440.0,100.0,1057.0,294.0,0.0,150.0,0.0,0.0,0.0,173.0,0.0
2022-03-17,21354.0,1380.0,95.83333333333333,9746.0,732.0,0.0,1133.0,0.0,0.0,0.0,1390.0,0.0
2022-03-14,21352.0,1440.0,100.0,613.0,885.0,0.0,400.0,0.0,0.0,0.0,40.0,0.0
2022-03-12,21336.0,1440.0,100.0,2218.0,182.0,0.0,75.0,0.0,0.0,0.0,173.0,0.0
2022-03-11,21394.0,1440.0,100.0,24427.0,572.0,0.0,910.0,0.0,0.0,0.0,553.0,0.0
2022-03-13,21368.0,1440.0,100.0,17029.0,1252.0,0.0,925.0,0.0,0.0,0.0,971.0,0.0
2022-03-13,21327.0,1440.0,100.0,1078.0,22.0,0.0,8.0,0.0,0.0,0.0,51.0,0.0
2022-03-16,21346.0,1400.0,97.22222222222223,3334.0,1430.0,0.0,674.0,0.0,0.0,0.0,382.0,0.0
2022-03-13,21365.0,1440.0,100.0,719.0,3303.0,0.0,299.0,0.0,0.0,0.0,78.0,0.0
2022-03-12,21322.0,1440.0,100.0,43625.0,559.0,0.0,691.0,0.0,0.0,0.0,1795.0,0.0
2022-03-11,21310.0,1440.0,100.0,24411.0,171.0,0.0,277.0,0.0,0.0,0.0,1174.0,0.0
2022-03-18,21328.0,1440.0,100.0,10210.0,987.0,0.0,743.0,0.0,0.0,0.0,206.0,0.0
2022-03-14,21323.0,1440.0,100.0,7112.0,924.0,0.0,1022.0,0.0,0.0,0.0,994.0,0.0
2022-03-16,21307.0,1440.0,100.0,3196.0,291.0,0.0,332.0,0.0,0.0,0.0,412.0,0.0
2022-03-19,21370.0,1380.0,95.83333333333333,13957.0,25971.0,0.0,9414.0,0.0,0.0,0.0,1639.0,0.0
2022-03-18,21324.0,1440.0,100.0,4048.0,3067.0,0.0,1342.0,0.0,0.0,0.0,228.0,0.0
2022-03-16,21387.0,1440.0,100.0,2976.0,818.0,0.0,750.0,0.0,0.0,0.0,7.0,0.0
2022-03-13,21313.0,1440.0,100.0,6581.0,538.0,0.0,377.0,0.0,0.0,0.0,257.0,0.0
2022-03-14,21316.0,1440.0,100.0,10404.0,1481.0,0.0,756.0,0.0,0.0,0.0,460.0,0.0
2022-03-14,21346.0,1440.0,100.0,3090.0,1989.0,0.0,994.0,0.0,0.0,0.0,296.0,0.0
2022-03-12,21393.0,1440.0,100.0,51187.0,2445.0,0.0,2139.0,0.0,0.0,0.0,2149.0,0.0
2022-03-19,21392.0,1380.0,95.83333333333333,23285.0,7346.0,0.0,5888.0,0.0,0.0,0.0,2262.0,0.0
2022-03-14,21376.0,1440.0,100.0,17085.0,1652.0,0.0,1514.0,0.0,0.0,0.0,2432.0,0.0
2022-03-11,21357.0,1440.0,100.0,18665.0,8046.0,0.0,4052.0,0.0,0.0,0.0,2804.0,0.0
