NE Name,fdn,BSCFLAG,CICNO,DPCGIDX,MOIndex,OPCIDX,OPMODE,PN,SN,SRN,STCIC,TSN,TSTYPE,className,name,neID
FTBSC02,"NE=280,AE1T1=7_14_0_28",MAINBSC,252,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,28,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_29",MAINBSC,253,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,29,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_30",MAINBSC,254,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,30,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_31",MAINBSC,255,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,31,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_1",MAINBSC,257,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,1,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_2",MAINBSC,258,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,2,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_3",MAINBSC,259,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,3,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_4",MAINBSC,260,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,4,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_5",MAINBSC,261,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,5,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=8_14_0_6",MAINBSC,262,0,26_0_14_8,0,MODSGLCIC,8,14,0,256,6,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=8,DPC Group index=0",26
