begintime,object,UL Traffic Volume (GB),DL Traffic Volume (GB)
2022-02-02 01:00:00,3G_DILLET-11,0.062077045,0.372405422
2022-02-02 01:00:00,3G_DILLET-12,0.021383156,0.230485596
2022-02-02 01:00:00,3G_DILLET-13,0.042706306,0.457960117
2022-02-02 01:00:00,3G_DILLET-14,0.03853992,0.324896201
2022-02-02 01:00:00,3G_DILLET-21,0.122127285,0.806882874
2022-02-02 01:00:00,3G_DILLET-22,0.081786514,0.761369602
2022-02-02 01:00:00,3G_DILLET-23,0.037073894,0.182316236
2022-02-02 01:00:00,3G_DILLET-24,0.060682006,0.355560012
2022-02-02 01:00:00,3G_DILLET-31,0.123397964,1.004629134
2022-02-02 01:00:00,3G_DILLET-32,0.07031233,0.745007184
2022-02-02 01:00:00,3G_DILLET-33,0.066358803,0.510441683
2022-02-02 01:00:00,3G_DILLET-34,0.035621316,0.259539047
2022-02-02 01:00:00,3G_DILLET-41,0.054554417,0.615062211
2022-02-02 01:00:00,3G_DILLET-42,0.029812504,0.365469098
2022-02-02 01:00:00,3G_DILLET-43,0.01982508,0.169314751
2022-02-02 01:00:00,3G_DILLET-44,0.01513592,0.096669255
2022-02-02 01:00:00,3G_DILLET-51,0.140568588,0.735088884
2022-02-02 01:00:00,3G_DILLET-52,0.098529159,0.767868124
2022-02-02 01:00:00,3G_DILLET-53,0.053713273,0.332758397
2022-02-02 01:00:00,3G_DILLET-54,0.100314199,0.657624882
2022-02-02 01:00:00,3G_DILLET-61,0.11916068,1.114757786
2022-02-02 01:00:00,3G_DILLET-62,0.073988379,0.847855322
2022-02-02 01:00:00,3G_DILLET-63,0.021025296,0.126724525
2022-02-02 01:00:00,3G_DILLET-64,0.061383621,0.55332157
2022-02-02 01:00:00,3G_DUKESTREET_II-11,0.008320711,0.042549303
2022-02-02 01:00:00,3G_DUKESTREET_II-12,0.017850295,0.173937347
2022-02-02 01:00:00,3G_DUKESTREET_II-13,0.003512343,0.03835028
2022-02-02 01:00:00,3G_DUKESTREET_II-14,0.00340284,0.016498013
2022-02-02 01:00:00,3G_DUKESTREET_II-21,0.100649931,0.268114429
2022-02-02 01:00:00,3G_DUKESTREET_II-22,0.127128715,0.533124426
2022-02-02 01:00:00,3G_DUKESTREET_II-23,0.055130976,0.470095044
2022-02-02 01:00:00,3G_DUKESTREET_II-24,0.056437,0.718690832
2022-02-02 01:00:00,3G_DUKESTREET_II-31,0.203221909,1.054624255
2022-02-02 01:00:00,3G_DUKESTREET_II-32,0.086206692,1.231272292
2022-02-02 01:00:00,3G_DUKESTREET_II-33,0.050446515,0.536177668
2022-02-02 01:00:00,3G_DUKESTREET_II-34,0.038959574,0.511765891
2022-02-02 01:00:00,3G_DUKESTREET_II-41,0.136479239,1.661922746
2022-02-02 01:00:00,3G_DUKESTREET_II-42,0.355063308,1.819150632
2022-02-02 01:00:00,3G_DUKESTREET_II-43,0.139347728,0.770103075
2022-02-02 01:00:00,3G_DUKESTREET_II-44,0.072971018,0.823277782
2022-02-02 01:00:00,3G_DUKESTREET_II-51,0.077546558,0.500895013
2022-02-02 01:00:00,3G_DUKESTREET_II-52,0.102558398,0.65831848
2022-02-02 01:00:00,3G_DUKESTREET_II-53,0.032954072,0.411554532
2022-02-02 01:00:00,3G_DUKESTREET_II-54,0.025070196,0.074724328
2022-02-02 01:00:00,3G_DUNDASTREET-11,0.076801688,0.752160273
2022-02-02 01:00:00,3G_DUNDASTREET-12,0.075925164,0.676912815
2022-02-02 01:00:00,3G_DUNDASTREET-13,0.101450358,0.628369781
2022-02-02 01:00:00,3G_DUNDASTREET-14,0.023385846,0.358826667
2022-02-02 01:00:00,3G_DUNDASTREET-21,0.072551936,0.682631869
