nodename,peernodename,mapping_name
G09_Gouygui Market_3,G_Gouygui Market@Gouygui Market,cell_site
G09_Gunjur 2_1,G_Gunjur 2@Gunjur 2,cell_site
G09_Gunjur 2_2,G_Gunjur 2@Gunjur 2,cell_site
G09_Gunjur 2_3,G_Gunjur 2@Gunjur 2,cell_site
G09_Sanyang 2_1,G_Sanyang 2@Sanyang 2,cell_site
G09_Sanyang 2_2,G_Sanyang 2@Sanyang 2,cell_site
G09_Sanyang 2_3,G_Sanyang 2@Sanyang 2,cell_site
G09_Brusubi 2_1,G_Brusubi 2@Brusubi 2,cell_site
G09_Brusubi 2_2,G_Brusubi 2@Brusubi 2,cell_site
G09_Brusubi 2_3,G_Brusubi 2@Brusubi 2,cell_site
G09_Busumbala 3_1,G_Busumbala 3@Busumbala 3,cell_site
