sk_object,object,measurement_id,duration,userlabel,is_connected,is_included_in_validation,dwh_created,dwh_last_modified
18288,"MRBTS-5062/LNBTS-5062/LNCEL-1,MCC-619/MNC-05,ECI-1301505,MCC-619/MNC-05",nokia_macro_8015,15,MRBTS-5062,1.0,1.0,2022-03-24 03:14:03.143809,2022-03-24 03:14:03.143809
1364,"MRBTS-5045/LNBTS-5045/LNCEL-3,MCC-619/MNC-05,ECI-1291267,MCC-619/MNC-05",nokia_common_8015,7,MRBTS-5045,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
17115,"MRBTS-5084/LNBTS-5084/LNCEL-31,MCC-619/MNC-05,ECI-1295903,MCC-619/MNC-05",nokia_macro_8015,15,MRBTS-5084,1.0,1.0,2022-03-24 03:14:03.143809,2022-03-24 03:14:03.143809
87231,"MRBTS-5079/LNBTS-5079/LNCEL-2,MCC-619/MNC-05,ECI-1300245,MCC-619/MNC-05",nokia_common_8015,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:46.944854,2022-03-26 13:40:46.944854
1369,"MRBTS-5045/LNBTS-5045/LNCEL-2,MCC-619/MNC-05,ECI-1313539,MCC-619/MNC-05",nokia_common_8015,7,MRBTS-5045,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
302,MRBTS-5044/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51324,11,MRBTS-5044,1.0,1.0,2022-03-24 02:33:31.029272,2022-03-24 02:33:31.029272
303,MRBTS-5090/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51324,8,MRBTS-5090,1.0,1.0,2022-03-24 02:33:31.029272,2022-03-24 02:33:31.029272
305,MRBTS-5083/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51324,11,MRBTS-5083,1.0,1.0,2022-03-24 02:33:31.029272,2022-03-24 02:33:31.029272
307,MRBTS-5200/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51325,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:31.082164,2022-03-24 02:33:31.082164
310,MRBTS-5084/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51325,12,MRBTS-5084,1.0,1.0,2022-03-24 02:33:31.082164,2022-03-24 02:33:31.082164
309,MRBTS-5050/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51325,15,MRBTS-5050,1.0,1.0,2022-03-24 02:33:31.082164,2022-03-24 02:33:31.082164
311,MRBTS-5044/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51325,11,MRBTS-5044,1.0,1.0,2022-03-24 02:33:31.082164,2022-03-24 02:33:31.082164
312,MRBTS-5090/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51325,8,MRBTS-5090,1.0,1.0,2022-03-24 02:33:31.082164,2022-03-24 02:33:31.082164
467,MRBTS-5084/TNLSVC-1/TNL-1/IPNO-1/IPIF-1,nokia_common_51376,12,MRBTS-5084,1.0,1.0,2022-03-24 02:33:32.969959,2022-03-24 02:33:32.969959
495,"MRBTS-5050/LNBTS-5050/LNCEL-3,MCC-619/MNC-05",nokia_common_8001,11,MRBTS-5050,1.0,1.0,2022-03-24 02:33:33.399889,2022-03-24 02:33:33.399889
505,"MRBTS-5084/LNBTS-5084/LNCEL-31,MCC-619/MNC-05",nokia_common_8001,12,MRBTS-5084,1.0,1.0,2022-03-24 02:33:33.399889,2022-03-24 02:33:33.399889
513,"MRBTS-5090/LNBTS-5090/LNCEL-11,MCC-619/MNC-05",nokia_common_8001,8,MRBTS-5090,1.0,1.0,2022-03-24 02:33:33.399889,2022-03-24 02:33:33.399889
555,"MRBTS-5084/LNBTS-5084/LNCEL-21,MCC-619/MNC-05",nokia_common_8005,12,MRBTS-5084,1.0,1.0,2022-03-24 02:33:36.985106,2022-03-24 02:33:36.985106
557,"MRBTS-5090/LNBTS-5090/LNCEL-2,MCC-619/MNC-05",nokia_common_8005,8,MRBTS-5090,1.0,1.0,2022-03-24 02:33:36.985106,2022-03-24 02:33:36.985106
